SITEVISITID,ISLAND,SITE,REEF_ZONE,LATITUDE,LONGITUDE,DEPTH,DEPTH_BIN,DATE_,OBS_YEAR,ANALYSIS_YEAR
12278,Jarvis,JAR-01820,Forereef,-0.379896,-159.977162,8.05,Mid,7/30/2018,2018,2018
12239,Jarvis,JAR-01821,Forereef,-0.370161,-159.978205,7.45,Mid,7/29/2018,2018,2018
12241,Jarvis,JAR-01823,Forereef,-0.377816,-159.972993,8.8,Mid,7/29/2018,2018,2018
12285,Jarvis,JAR-01826,Forereef,-0.380382,-159.972682,10.25,Mid,7/30/2018,2018,2018
12226,Jarvis,JAR-01827,Forereef,-0.366942,-160.007139,8.9,Mid,7/28/2018,2018,2018
12244,Jarvis,JAR-01830,Forereef,-0.367498,-159.980004,9.5,Mid,7/29/2018,2018,2018
12221,Jarvis,JAR-01835,Forereef,-0.379055,-159.978458,7.85,Mid,7/28/2018,2018,2018
12243,Jarvis,JAR-01841,Forereef,-0.364596,-159.985143,10.45,Mid,7/29/2018,2018,2018
12283,Jarvis,JAR-01842,Forereef,-0.377138,-160.014625,7.85,Mid,7/30/2018,2018,2018
12299,Jarvis,JAR-01843,Forereef,-0.372392,-159.984243,3.35,Shallow,7/31/2018,2018,2018
12286,Jarvis,JAR-01845,Forereef,-0.364149,-159.987962,5.05,Shallow,7/30/2018,2018,2018
12293,Jarvis,JAR-01846,Forereef,-0.368892,-160.007361,5.4,Shallow,7/31/2018,2018,2018
12298,Jarvis,JAR-01850,Forereef,-0.37679,-159.982458,5.45,Shallow,7/31/2018,2018,2018
12240,Jarvis,JAR-01852,Forereef,-0.371017,-159.983576,5.6,Shallow,7/29/2018,2018,2018
12222,Jarvis,JAR-01853,Forereef,-0.375627,-159.983159,3.95,Shallow,7/28/2018,2018,2018
12292,Jarvis,JAR-01854,Forereef,-0.362704,-159.998965,5.15,Shallow,7/31/2018,2018,2018
12223,Jarvis,JAR-01855,Forereef,-0.38133,-159.999561,4.7,Shallow,7/28/2018,2018,2018
12280,Jarvis,JAR-01857,Forereef,-0.367884,-159.982523,5.05,Shallow,7/30/2018,2018,2018
12287,Jarvis,JAR-01859,Forereef,-0.374379,-159.982466,5.75,Shallow,7/30/2018,2018,2018
12281,Jarvis,JAR-01862,Forereef,-0.371858,-160.010672,1.5,Shallow,7/30/2018,2018,2018
12246,Jarvis,JAR-01865,Forereef,-0.379979,-159.981275,5.9,Shallow,7/29/2018,2018,2018
12238,Jarvis,JAR-01866,Forereef,-0.365859,-159.984471,5.25,Shallow,7/29/2018,2018,2018
12288,Jarvis,JAR-01867,Forereef,-0.381029,-160.010771,5.05,Shallow,7/30/2018,2018,2018
